"Baumit 35B","35b","#cebf93"
"Baumit 35G","35g","#e8d9a2"
"Baumit 35J","35j","#afd2ae"
"Baumit 35M","35m","#e2b98d"
"Baumit 35T","35t","#9acfc8"
"Baumit 35U","35u","#c1a292"
"Baumit 37A","37a","#ccd9e0"
"Baumit 37B","37b","#e1d7bb"
"Baumit 37G","37g","#ebe4c4"
"Baumit 37J","37j","#cee2cc"
"Baumit 37M","37m","#e9d3b5"
"Baumit 37T","37t","#c3ded8"
"Baumit 37U","37u","#dac3b5"
"Baumit 41A","41a","#698bad"
"Baumit 41B","41b","#8a7b54"
"Baumit 41U","41u","#765f52"
"Baumit 43A","43a","#8eacc8"
"Baumit 43B","43b","#a7986d"
"Baumit 43U","43u","#988172"
"Baumit 45A","45a","#aec5d6"
"Baumit 45B","45b","#c5b998"
"Baumit 45U","45u","#baa599"
"Baumit 47A","47a","#cdd9df"
"Baumit 47B","47b","#d7cfb5"
"Baumit 47U","47u","#d4c5bb"
"Baumit 51A","51a","#697e91"
"Baumit 53A","53a","#8c9fb0"
"Baumit 55A","55a","#afbdc8"
"Baumit 57A","57a","#ced6db"
